
2015-01-17 21:44:00,919 INFO   [Plc] Write: 1000-555(Hex:022B) 
2015-01-17 21:44:00,920 DEBUG  [Plc] Command: 00FFWW3D100001022B09
 
2015-01-17 21:44:00,921 INFO   [Plc] Write: 1001-0(Hex:0000) 
2015-01-17 21:44:00,921 DEBUG  [Plc] Command: 00FFWW3D1001010000F4
 
2015-01-17 21:44:00,943 INFO   [WritePlcDialog] Write number of hole 
 
2015-01-17 21:44:00,944 INFO   [Plc] Write: 1002-3(Hex:0003) 
2015-01-17 21:44:00,944 DEBUG  [Plc] Command: 00FFWW3D1002010003F8
 
2015-01-17 21:44:00,965 INFO   [WritePlcDialog] Write Marker for L0-M?u ABC
 
2015-01-17 21:44:00,967 INFO   [Plc] Write: 1010-527(Hex:020F) 
2015-01-17 21:44:00,967 DEBUG  [Plc] Command: 00FFWW3D101001020F0C
 
2015-01-17 21:44:00,968 INFO   [Plc] Write: 1011-0(Hex:0000) 
2015-01-17 21:44:00,971 DEBUG  [Plc] Command: 00FFWW3D1011010000F5
 
2015-01-17 21:44:00,981 INFO   [Plc] RCV: 0 
2015-01-17 21:44:00,982 INFO   [Plc] RCV: 0F 
2015-01-17 21:44:00,984 INFO   [Plc] RCV: F 
2015-01-17 21:44:00,985 INFO   [Plc] RCV:  
2015-01-17 21:44:00,986 INFO   [Plc] RCV: 
 
2015-01-17 21:44:00,991 INFO   [Plc] Write: 1012-0(Hex:0000) 
2015-01-17 21:44:00,991 DEBUG  [Plc] Command: 00FFWW3D1012010000F6
 
2015-01-17 21:44:00,992 INFO   [Plc] Write: 1013-0(Hex:0000) 
2015-01-17 21:44:00,992 DEBUG  [Plc] Command: 00FFWW3D1013010000F7
 
2015-01-17 21:44:01,013 INFO   [Plc] Write: 1014-0(Hex:0000) 
2015-01-17 21:44:01,013 DEBUG  [Plc] Command: 00FFWW3D1014010000F8
 
2015-01-17 21:44:01,034 INFO   [WritePlcDialog] Write Cut 1
 
2015-01-17 21:44:01,035 INFO   [Plc] Write: 1015-555(Hex:022B) 
2015-01-17 21:44:01,035 DEBUG  [Plc] Command: 00FFWW3D101501022B0F
 
2015-01-17 21:44:01,036 INFO   [Plc] Write: 1016-0(Hex:0000) 
2015-01-17 21:44:01,036 DEBUG  [Plc] Command: 00FFWW3D1016010000FA
 
2015-01-17 21:44:01,060 INFO   [Plc] Write: 1017-0(Hex:0000) 
2015-01-17 21:44:01,060 DEBUG  [Plc] Command: 00FFWW3D1017010000FB
 
2015-01-17 21:44:01,067 INFO   [Plc] Write: 1018-0(Hex:0000) 
2015-01-17 21:44:01,067 DEBUG  [Plc] Command: 00FFWW3D1018010000FC
 
2015-01-17 21:44:01,113 INFO   [Plc] Write: 1019-7(Hex:0007) 
2015-01-17 21:44:01,113 DEBUG  [Plc] Command: 00FFWW3D101901000704
 
2015-01-17 21:44:01,140 INFO   [WritePlcDialog] Write L0-M?u ABC-A [100.0,50.0]-1
 
2015-01-17 21:44:01,141 INFO   [Plc] Write: 1020-900(Hex:0384) 
2015-01-17 21:44:01,141 DEBUG  [Plc] Command: 00FFWW3D102001038404
 
2015-01-17 21:44:01,147 INFO   [Plc] Write: 1021-0(Hex:0000) 
2015-01-17 21:44:01,147 DEBUG  [Plc] Command: 00FFWW3D1021010000F6
 
2015-01-17 21:44:01,194 INFO   [Plc] Write: 1022-50(Hex:0032) 
2015-01-17 21:44:01,194 DEBUG  [Plc] Command: 00FFWW3D1022010032FC
 
2015-01-17 21:44:01,201 INFO   [Plc] Write: 1023-0(Hex:0000) 
2015-01-17 21:44:01,201 DEBUG  [Plc] Command: 00FFWW3D1023010000F8
 
2015-01-17 21:44:01,247 INFO   [Plc] Write: 1024-1(Hex:0001) 
2015-01-17 21:44:01,247 DEBUG  [Plc] Command: 00FFWW3D1024010001FA
 
2015-01-17 21:44:01,274 INFO   [Plc] RCV:  
2015-01-17 21:44:01,275 INFO   [Plc] RCV: 0 
2015-01-17 21:44:01,277 INFO   [Plc] RCV: 0 
2015-01-17 21:44:01,277 INFO   [Plc] RCV: F 
2015-01-17 21:44:01,277 INFO   [WritePlcDialog] Finish! 
 
2015-01-17 21:44:01,279 INFO   [Plc] RCV: F 
2015-01-17 21:44:01,280 INFO   [Plc] RCV:  
2015-01-17 21:44:01,281 INFO   [Plc] RCV: 
 
